,rank,name,league,total_goals_(2016-2023),spi
0,1,Manchester City,Barclays Premier League,1124,92.0
1,2,Bayern Munich,German Bundesliga,1147,87.66
2,3,Barcelona,Spanish Primera Division,1064,86.4
3,4,Real Madrid,Spanish Primera Division,1077,84.41
4,5,Liverpool,Barclays Premier League,1039,83.93
5,6,Arsenal,Barclays Premier League,1017,83.92
6,7,Newcastle,Barclays Premier League,587,83.7
7,8,Napoli,Italy Serie A,984,83.25
8,9,Borussia Dortmund,German Bundesliga,1050,82.91
9,10,Brighton and Hove Albion,Barclays Premier League,573,80.88
10,11,RB Leipzig,German Bundesliga,920,80.42
11,12,Benfica,Portuguese Liga,845,79.96
12,13,Aston Villa,Barclays Premier League,877,79.3
13,14,Atletico Madrid,Spanish Primera Division,792,79.29
14,15,Paris Saint-Germain,French Ligue 1,1074,79.12
15,16,Manchester United,Barclays Premier League,908,79.08
16,17,Internazionale,Italy Serie A,897,78.43
17,18,Ajax,Dutch Eredivisie,879,77.36
18,19,Lille,French Ligue 1,712,77.2
19,20,Brentford,Barclays Premier League,708,77.14
20,21,Real Sociedad,Spanish Primera Division,771,77.07
21,22,Sporting CP,Portuguese Liga,716,76.96
22,23,FC Porto,Portuguese Liga,769,76.86
23,24,Chelsea,Barclays Premier League,913,75.78
24,25,Feyenoord,Dutch Eredivisie,766,75.25
25,26,Lyon,French Ligue 1,915,75.18
26,27,Stade Rennes,French Ligue 1,772,75.14
27,28,Bayer Leverkusen,German Bundesliga,932,74.88
28,29,Athletic Bilbao,Spanish Primera Division,635,74.78
29,30,Celtic,Scottish Premiership,841,74.69
30,31,Zenit St Petersburg,Russian Premier Liga,638,74.38
31,32,Fiorentina,Italy Serie A,778,74.35
32,33,FC Twente,Dutch Eredivisie,463,74.18
33,34,Marseille,French Ligue 1,839,73.99
34,35,PSV,Dutch Eredivisie,842,73.51
35,36,Crystal Palace,Barclays Premier League,690,73.46
36,37,Villarreal,Spanish Primera Division,865,73.35
37,38,Lens,French Ligue 1,553,73.34
38,39,AC Milan,Italy Serie A,841,73.33
39,40,AS Roma,Italy Serie A,984,73.0
